id,created_at,updated_at,status,code_sap,name,fantasy,system,retroactive,owner
189,2019-12-03 15:55:28,2020-01-20 14:23:46,True,10433873,FUTURA INS AGRIC LTDA,FUTURA,,,1
214,2019-12-03 15:55:28,2020-05-05 16:31:02,True,10553557,PIVA AGRO COMERCIAL LTDA,AGROPIVA,,,1
164,2019-12-03 15:55:28,2020-02-14 11:23:57,True,10626898,CULTIVAR COM SERV AGROPEC LTDA,CULTIVAR,,,1
194,2019-12-03 15:55:28,2020-02-14 11:45:19,True,10434209,H F COM E REPRES LTDA ME,HF SEMENTES,,,1
199,2019-12-03 15:55:28,2020-05-05 16:18:57,True,10544948,IMPERAGRO IPTZ AGROP LTDA ME,IMPERAGRO,,,1
215,2019-12-03 15:55:28,2020-05-20 11:39:03,True,10434470,PLANTAR AGROP LTDA,PLANTAR,,,1
181,2019-12-03 15:55:28,2020-04-13 14:32:26,True,10550808,FERT SOLO COM PROD AGRIC LTDA,FERT SOLO,,,1
153,2019-12-03 15:55:28,2020-02-14 13:05:04,True,10433390,COOPAVEL COOPERATIVA AGROINDUSTRIAL,COOPAVEL,,,1
171,2019-12-03 15:55:28,2020-08-24 11:14:11,True,10433837,DENORPI DIST DE INSUMOS AGRIC LTDA,DENORPI,,,1
198,2019-12-03 15:55:28,2020-08-24 11:14:37,True,10551996,IMEMBUY ALIMENTOS AERO AGRIC SA,IMEMBUY,,,1
193,2019-12-03 15:55:28,2020-02-14 13:20:03,True,10552689,GLOBAL PRODUTOS AGROP LTDA,GLOBAL,,,1
225,2019-12-03 15:55:28,2020-04-06 17:06:18,True,10434301,RENOVARE MOSSORO COM AGRIC LTDA,RENOVARE,,,1
227,2019-12-03 15:55:28,2020-08-24 11:14:54,True,10453699,RIZZI & CIA LTDA,AGRIMAR,,,1
191,2019-12-03 15:55:28,2020-05-05 16:43:34,True,10439887,GADENZ PARIZOTTO CIA LTDA,GADENZ PARIZOTTO,,,1
213,2019-12-03 15:55:28,2020-02-14 13:26:29,True,10551792,NORTESUL COMERCIAL AGRICOLA LTDA ME,NORTESUL,,,1
206,2019-12-03 15:55:28,2020-05-05 16:36:28,True,10501660,LAVROTERRA COM E REP DE PROD AGROP,LAVROTERRA,,,1
201,2019-12-03 15:55:28,2020-05-05 16:12:33,True,10433414,INTEGRADA COOPERATIVA AGROINDUSTRIA,INTEGRADA,,,1
163,2019-12-03 15:55:28,2020-02-14 11:20:22,True,10626515,CULTIVA SOLUCOES AGROP LTDA,CULTIVA,,,1
174,2019-12-03 15:55:28,2020-05-05 16:15:32,True,10491327,DIBAN DISTR DE INS AGRIC BANDEIRANT,DIBAN,,,1
162,2019-12-03 15:55:28,2020-02-14 13:11:09,True,10547802,COTRIJUC COOP AGROP JULIO DE CAST,COTRIJUC,,,1
178,2019-12-03 15:55:28,2020-02-14 13:14:27,True,10433504,EDIR TOMIOSHI AGRIC LTDA,EDIR TOMIOSHI,,,1
190,2019-12-03 15:55:28,2020-02-14 13:17:40,True,10434144,G M GOMES MARIM COM REPRES PROD AGR,G M,,,1
208,2019-12-03 15:55:28,2020-02-14 13:25:31,True,10433867,MAFER MARILIA COM REPRES LTDA,MAFER,,,1
184,2019-12-03 15:55:28,2020-02-14 11:41:56,True,10546385,FORCA AGRICOLA LTDA,FORÇA,,,1
219,2019-12-03 15:55:28,2020-05-05 16:44:22,True,10433598,PONTO RURAL COM DIST INS AGRIC LTDA,PONTO RURAL,,,1
158,2019-12-03 15:55:28,2020-08-24 11:13:52,True,10433574,COOPERMOTA COOP AGROINDL,COOPERMOTA,,,1
224,2019-12-03 15:55:28,2020-02-14 13:40:08,True,10433698,PROTEC PRODUTOS AGRIC LTDA,PROTEC,,,1
209,2019-12-03 15:55:28,2020-04-27 17:43:23,True,10434430,MCF AGRICOLA EIRELI,MCF,,,1
187,2019-12-03 15:55:28,2020-05-05 16:03:07,True,10433400,FRISIA COOP AGROINDUSTRIAL,BATAVO,,,1
223,2019-12-03 15:55:28,2020-05-05 16:09:33,True,10434379,PRODUTECNICA NORDESTE COM INS AGRIC,PRODUTECNICA,,,1
180,2019-12-03 15:55:28,2020-05-05 16:15:21,True,10433656,FERRARI ZAGATTO COM DE INSUMOS SA,AGRIC FERTIPOL,,,1
182,2019-12-03 15:55:28,2020-05-05 16:17:53,True,10479292,FIAGRIL LTDA,FIAGRIL,,,1
210,2019-12-03 15:55:28,2020-05-05 16:42:23,True,10525886,MM COML DE CEREAIS LTDA,CEREAIS MENIM,,,1
205,2019-12-03 15:55:28,2020-05-05 16:43:23,True,10433606,LAR COOP AGROINDL,LAR,,,1
212,2019-12-03 15:55:28,2020-05-11 11:24:41,True,10468866,NILTON ARNO BRAUCKS,BRAUCKS,,,1
230,2019-12-03 15:55:28,2019-12-03 15:55:28,True,10434309,RURAL DISTR DE PRODUTOS AGRIC LTDA,RURAL DISTRIBUIDORA,,,1
236,2019-12-03 15:55:28,2020-01-08 08:44:17,True,10563635,SANDRI DIS MAQ EQUI INSU AGROP LTDA,SANDRI CATIVO,,,1
242,2019-12-03 15:55:28,2019-12-03 15:55:28,True,10434358,SIAP COM DE PROD AGROPECUARIOS LTDA,SIAP,,,1
243,2019-12-03 15:55:28,2019-12-03 15:55:28,True,10433842,SILOTI E CIA LTDA,SILOTI,,,1
248,2019-12-03 15:55:28,2019-12-03 15:55:28,True,10433897,SOMA COM E REPRES PROD AGRIC LTDA,SOMA,,,1
251,2019-12-03 15:55:28,2019-12-19 12:18:50,True,10440099,SOMMAR SOLUCOES AGRICOLAS LTDA,SOMMAR,,,1
258,2019-12-03 15:55:28,2019-12-03 15:55:28,True,10434424,SYNTONIA AGRONEGOCIOS LTDA,SYNTONIA,,,1
259,2019-12-03 15:55:28,2019-12-03 15:55:28,True,10472083,SYNVALE DIST DE PROD AGROPEC LTDA,SYNVALE,,,1
